

 226: 58.612671, 69.089546 avg loss, 0.000003 rate, 4.652781 seconds, 14464 images, 29.788649 hours left

 227: 70.348083, 69.215401 avg loss, 0.000003 rate, 4.287655 seconds, 14528 images, 29.798121 hours left

 228: 56.552261, 67.949089 avg loss, 0.000003 rate, 4.576922 seconds, 14592 images, 29.783373 hours left

 229: 73.363487, 68.490532 avg loss, 0.000003 rate, 5.192091 seconds, 14656 images, 29.787901 hours left

 230: 81.348579, 69.776337 avg loss, 0.000003 rate, 4.212635 seconds, 14720 images, 29.832948 hours left

 231: 49.250607, 67.723763 avg loss, 0.000003 rate, 3.615829 seconds, 14784 images, 29.812899 hours left

 232: 56.325886, 66.583977 avg loss, 0.000003 rate, 3.774386 seconds, 14848 images, 29.826777 hours left

 233: 59.607498, 65.886330 avg loss, 0.000003 rate, 3.277478 seconds, 14912 images, 29.777835 hours left

 234: 51.857361, 64.483429 avg loss, 0.000003 rate, 3.564027 seconds, 14976 images, 29.696564 hours left

 235: 58.476944, 63.882782 avg loss, 0.000003 rate, 3.810861 seconds, 15040 images, 29.635266 hours left

 236: 55.429504, 63.037453 avg loss, 0.000003 rate, 4.005518 seconds, 15104 images, 29.590643 hours left

 237: 62.109879, 62.944695 avg loss, 0.000003 rate, 4.181240 seconds, 15168 images, 29.559280 hours left

 238: 58.496151, 62.499840 avg loss, 0.000003 rate, 3.070070 seconds, 15232 images, 29.539775 hours left

 239: 43.411282, 60.590984 avg loss, 0.000003 rate, 3.036297 seconds, 15296 images, 29.447231 hours left

 240: 44.347813, 58.966667 avg loss, 0.000003 rate, 2.977218 seconds, 15360 images, 29.353255 hours left

 241: 50.604378, 58.130440 avg loss, 0.000003 rate, 3.608583 seconds, 15424 images, 29.256310 hours left

 242: 51.938301, 57.511227 avg loss, 0.000003 rate, 3.440889 seconds, 15488 images, 29.318256 hours left

 243: 47.326813, 56.492786 avg loss, 0.000003 rate, 3.091756 seconds, 15552 images, 29.252317 hours left

 244: 44.121384, 55.255646 avg loss, 0.000004 rate, 3.632240 seconds, 15616 images, 29.163945 hours left

 245: 54.491440, 55.179226 avg loss, 0.000004 rate, 3.314520 seconds, 15680 images, 29.112089 hours left

 246: 41.233982, 53.784702 avg loss, 0.000004 rate, 3.027643 seconds, 15744 images, 29.039774 hours left

